text,language,text_length,tokens
एतद कलखड वदक यग नमन जत,sa,34,"['एतद', 'कलखड', 'वदक', 'यग', 'नमन', 'जत']"
అదక నననయ మహభరతల తరలగ శబద పరయగ కకపవడ కడ కరణమననర,te,73,"['అదక', 'నననయ', 'మహభరతల', 'తరలగ', 'శబద', 'పరయగ', 'కకపవడ', 'కడ', 'కరణమననర']"
ଗଜରଟର ସରଟ ଭରତର ଦୱତୟ ଓଡଆ ଭଷ ବହଳ ଅଞଚଳ,or,50,"['ଗଜରଟର', 'ସରଟ', 'ଭରତର', 'ଦୱତୟ', 'ଓଡଆ', 'ଭଷ', 'ବହଳ', 'ଅଞଚଳ']"
ककण भसच बल परत धरम झत आन सथन भषच परभव हय परमण वगळ करणयत यत,kok,102,"['ककण', 'भसच', 'बल', 'परत', 'धरम', 'झत', 'आन', 'सथन', 'भषच', 'परभव', 'हय', 'परमण', 'वगळ', 'करणयत', 'यत']"
जसत समयम समरकषण समलप समवहन सयम सरकषण सलप सवहन आदसरत नखलक,ne,88,"['जसत', 'समयम', 'समरकषण', 'समलप', 'समवहन', 'सयम', 'सरकषण', 'सलप', 'सवहन', 'आदसरत', 'नखलक']"
97421 59724 ಜಯಪರ ಹಬಳ ಮಬಲ ನಬರ 9686766291 ಇಲವಲ ಹಬಳ ಮಬಲ ನಬರ 70267 19516 ಕಸಬ ಹಬಳ 99013 87284 ಗ ಸಪರಕಸಬಹದದ ಹರಯ ಸಹಯಕ ತಟಗರಕ ನರದಶಕರ ತಳಸದದರ,kn,178,"['97421', '59724', 'ಜಯಪರ', 'ಹಬಳ', 'ಮಬಲ', 'ನಬರ', '9686766291', 'ಇಲವಲ', 'ಹಬಳ', 'ಮಬಲ', 'ನಬರ', '70267', '19516', 'ಕಸಬ', 'ಹಬಳ', '99013', '87284', 'ಗ', 'ಸಪರಕಸಬಹದದ', 'ಹರಯ', 'ಸಹಯಕ', 'ತಟಗರಕ', 'ನರದಶಕರ', 'ತಳಸದದರ']"
ഇനതയയൽ പരധനമയ കരള സസഥനതതല ലകഷദവപല പതചചരയട ഭഗമയ മയയഴയല സസരകകപപടനന ഭഷയണ മലയള,ml,123,"['ഇനതയയൽ', 'പരധനമയ', 'കരള', 'സസഥനതതല', 'ലകഷദവപല', 'പതചചരയട', 'ഭഗമയ', 'മയയഴയല', 'സസരകകപപടനന', 'ഭഷയണ', 'മലയള']"
ఇద ఆ రషటరలల అధకర భష,te,29,"['ఇద', 'ఆ', 'రషటరలల', 'అధకర', 'భష']"
मरठ ह महरषटर रजयच एकमव अधकत रजभष आह,mr,54,"['मरठ', 'ह', 'महरषटर', 'रजयच', 'एकमव', 'अधकत', 'रजभष', 'आह']"
૧૪૧૪૧૪૮૦ ન પરપરગત રત આધનક ગજરત કવતન પત મનવમ આવ છ,gu,71,"['૧૪૧૪૧૪૮૦', 'ન', 'પરપરગત', 'રત', 'આધનક', 'ગજરત', 'કવતન', 'પત', 'મનવમ', 'આવ', 'છ']"
ਬਗੜ ਦ ਰਜਸਥਨ ਅਤ ਪਜਬ ਨਲ ਸਝ ਹਣ ਕਰਕ ਇਹ ਦਵ ਵਚਲ ਪਲ ਦ ਕਮ ਕਰ ਰਹ ਹ,pa,84,"['ਬਗੜ', 'ਦ', 'ਰਜਸਥਨ', 'ਅਤ', 'ਪਜਬ', 'ਨਲ', 'ਸਝ', 'ਹਣ', 'ਕਰਕ', 'ਇਹ', 'ਦਵ', 'ਵਚਲ', 'ਪਲ', 'ਦ', 'ਕਮ', 'ਕਰ', 'ਰਹ', 'ਹ']"
పదచచరలన యన జలలల తలగ అధకరక భష,te,49,"['పదచచరలన', 'యన', 'జలలల', 'తలగ', 'అధకరక', 'భష']"
महरषटरबहरल एकण १५ वदयपठमधय मरठ शकवल जत,mr,63,"['महरषटरबहरल', 'एकण', '१५', 'वदयपठमधय', 'मरठ', 'शकवल', 'जत']"
भरत आन क बद अरबफरस बलन वल न जबनएहनद हनद जबन अथव हनद क परयग दललआगर क चर ओर बल जन वल भष क अरथ म कय,hi,155,"['भरत', 'आन', 'क', 'बद', 'अरबफरस', 'बलन', 'वल', 'न', 'जबनएहनद', 'हनद', 'जबन', 'अथव', 'हनद', 'क', 'परयग', 'दललआगर', 'क', 'चर', 'ओर', 'बल', 'जन', 'वल', 'भष', 'क', 'अरथ', 'म', 'कय']"
علاقائی زبانیں بھی اردو کے الفاظ سے اثر پا رہی ہیں,ur,52,"['علاقائی', 'زبانیں', 'بھی', 'اردو', 'کے', 'الفاظ', 'سے', 'اثر', 'پا', 'رہی', 'ہیں']"
300 க,ta,9,"['300', 'க']"
ایل نژادیہ کے 1999ء کی شماریات کے مطابق اردو اور ہندی دنیا میں پانچویں سب سے زیادہ بولی جانی والی زبان ہے,ur,108,"['ایل', 'نژادیہ', 'کے', '1999ء', 'کی', 'شماریات', 'کے', 'مطابق', 'اردو', 'اور', 'ہندی', 'دنیا', 'میں', 'پانچویں', 'سب', 'سے', 'زیادہ', 'بولی', 'جانی', 'والی', 'زبان', 'ہے']"
ಫಲಪಕರಟ ನದಗನ ಪಲದರಕಯ ಸಣಣ ಪಟಟಣಗಳ ಮತತ ನಗರಗಳಲಲ ಫಲಪಕರಟಗ ತಲಪವ ಮಲಕ ವಯಪಕವದ ವಯಪರಗಳನನ ತಲಪಲದ,kn,130,"['ಫಲಪಕರಟ', 'ನದಗನ', 'ಪಲದರಕಯ', 'ಸಣಣ', 'ಪಟಟಣಗಳ', 'ಮತತ', 'ನಗರಗಳಲಲ', 'ಫಲಪಕರಟಗ', 'ತಲಪವ', 'ಮಲಕ', 'ವಯಪಕವದ', 'ವಯಪರಗಳನನ', 'ತಲಪಲದ']"
भरतसय वयवयभग पकसथनदश असत,sa,40,"['भरतसय', 'वयवयभग', 'पकसथनदश', 'असत']"
सवधनरतय कनदरसरवकर रजयसरवकरशच समभय दशसय शसन करवनत,sa,79,"['सवधनरतय', 'कनदरसरवकर', 'रजयसरवकरशच', 'समभय', 'दशसय', 'शसन', 'करवनत']"
ಜತಗ ತಲಗಣ ತಮಳನಡ ಕರಳ ಪದಚರ ಮಹಯಲಲ ಕಡ ಶಹನ ಚಡಮರತದ ಪರಣಮದದ ಅಲಲಲಲ ಮಳಯಗಲದ,kn,105,"['ಜತಗ', 'ತಲಗಣ', 'ತಮಳನಡ', 'ಕರಳ', 'ಪದಚರ', 'ಮಹಯಲಲ', 'ಕಡ', 'ಶಹನ', 'ಚಡಮರತದ', 'ಪರಣಮದದ', 'ಅಲಲಲಲ', 'ಮಳಯಗಲದ']"
க,ta,2,['க']
ઉતતર અમરક ખડમ ગજરત ભષ સથ ઝડપથ વકસત અન અમરક અન કનડમ સથ વધ બલત ભરતય ભષઓમન એક છ,gu,118,"['ઉતતર', 'અમરક', 'ખડમ', 'ગજરત', 'ભષ', 'સથ', 'ઝડપથ', 'વકસત', 'અન', 'અમરક', 'અન', 'કનડમ', 'સથ', 'વધ', 'બલત', 'ભરતય', 'ભષઓમન', 'એક', 'છ']"
উচচৰণৰ সথন আৰ ৰত অনসৰ অসময বশষট সবৰধবনবৰক তলত দযৰ দৰ দখৱব পৰ,as,89,"['উচচৰণৰ', 'সথন', 'আৰ', 'ৰত', 'অনসৰ', 'অসময', 'বশষট', 'সবৰধবনবৰক', 'তলত', 'দযৰ', 'দৰ', 'দখৱব', 'পৰ']"
ലകതതകമന 3,ml,15,"['ലകതതകമന', '3']"
ହତଗମଫର ଶଳଲଖର ଲଖ ଭଷ ହଉଛ ପଳ ଆଉ ଲପ ହଉଛ ବରହମ ତବ ଏହ ଶଳଲଖ ହ ପରମଣ କରଦଏ ଯ ଓଡଆ ଭଷ ଅନୟ ଭଷଠର ପରତନ,or,137,"['ହତଗମଫର', 'ଶଳଲଖର', 'ଲଖ', 'ଭଷ', 'ହଉଛ', 'ପଳ', 'ଆଉ', 'ଲପ', 'ହଉଛ', 'ବରହମ', 'ତବ', 'ଏହ', 'ଶଳଲଖ', 'ହ', 'ପରମଣ', 'କରଦଏ', 'ଯ', 'ଓଡଆ', 'ଭଷ', 'ଅନୟ', 'ଭଷଠର', 'ପରତନ']"
അതയത കവയഭഷയൽ തങങനലകകനന പഴമയയരനന പഴനതമഴ വയകരണതതനറ കലതതപല അത എനനർതഥ,ml,105,"['അതയത', 'കവയഭഷയൽ', 'തങങനലകകനന', 'പഴമയയരനന', 'പഴനതമഴ', 'വയകരണതതനറ', 'കലതതപല', 'അത', 'എനനർതഥ']"
ഒര സവതനതരഭഷ എനന നലയൽ മലയളതതന നനറള വർഷങങളട പഴകക അനമനകകപപടനന,ml,89,"['ഒര', 'സവതനതരഭഷ', 'എനന', 'നലയൽ', 'മലയളതതന', 'നനറള', 'വർഷങങളട', 'പഴകക', 'അനമനകകപപടനന']"
a few short inscriptions from the early period of old english were written using a runic script,en,96,"['a', 'few', 'short', 'inscriptions', 'from', 'the', 'early', 'period', 'of', 'old', 'english', 'were', 'written', 'using', 'a', 'runic', 'script']"
বলর নবজগরণ ও বলর সসকতক ববধতক এক সতর গরনথন এব বঙল জতযতবদর বকশ তথ বলদশ গঠন বল ভষ ও সহতয সবচয গরতবপরণ ভমক রখছ,bn,171,"['বলর', 'নবজগরণ', 'ও', 'বলর', 'সসকতক', 'ববধতক', 'এক', 'সতর', 'গরনথন', 'এব', 'বঙল', 'জতযতবদর', 'বকশ', 'তথ', 'বলদশ', 'গঠন', 'বল', 'ভষ', 'ও', 'সহতয', 'সবচয', 'গরতবপরণ', 'ভমক', 'রখছ']"
ଏହପରବର ଗତ ତନଟ ମୟଚର ଟସ ହରଇବ ପର ଦଳ ପରଥମ ବୟଟ କରବକ ବହରଥଲ ଦଳ ଗଟଏ ମୟଚ ଜତବର ସଫଳ ହଇଥବବଳ ସ 2 ର ପରସତ ହଇଥଲ,or,147,"['ଏହପରବର', 'ଗତ', 'ତନଟ', 'ମୟଚର', 'ଟସ', 'ହରଇବ', 'ପର', 'ଦଳ', 'ପରଥମ', 'ବୟଟ', 'କରବକ', 'ବହରଥଲ', 'ଦଳ', 'ଗଟଏ', 'ମୟଚ', 'ଜତବର', 'ସଫଳ', 'ହଇଥବବଳ', 'ସ', '2', 'ର', 'ପରସତ', 'ହଇଥଲ']"
امیتابھ بچن چھ آكھ بارتی فلمی اداکار,ks,42,"['امیتابھ', 'بچن', 'چھ', 'آكھ', 'بارتی', 'فلمی', 'اداکار']"
૧૫૦૦૧૮૦૦ રજસથન ભષ થ અલગ પડ,gu,36,"['૧૫૦૦૧૮૦૦', 'રજસથન', 'ભષ', 'થ', 'અલગ', 'પડ']"
ப,ta,2,['ப']
دۄیو سنسکرت لفطو ستؠ بنؠومت سری دولت تہ نگر شہر,ks,55,"['دۄیو', 'سنسکرت', 'لفطو', 'ستؠ', 'بنؠومت', 'سری', 'دولت', 'تہ', 'نگر', 'شہر']"
त परमजञन परपतवनत,sa,27,"['त', 'परमजञन', 'परपतवनत']"
இவரகளள சரரகளல சஙகடடவன மனனனம சழரகளல கரகல சழன மனனனம பணடயரகளல நடஞசழயன மனனனம பயர பறற ஆடசயளரகளகத தகழநத மகவம பகழபறற வளஙகனர,ta,189,"['இவரகளள', 'சரரகளல', 'சஙகடடவன', 'மனனனம', 'சழரகளல', 'கரகல', 'சழன', 'மனனனம', 'பணடயரகளல', 'நடஞசழயன', 'மனனனம', 'பயர', 'பறற', 'ஆடசயளரகளகத', 'தகழநத', 'மகவம', 'பகழபறற', 'வளஙகனர']"
ಫಲಪ ಕರಟ ನದಗ ಈ ಪಲದರಕಯ ಮಲಕ ಅರಬನಕ ನ ಬಳವಣಗಯ ದಷಟಕನವ ಭರತದಲಲ ಹಚಚನ ಶಪರ ಗಳನನ ತಡಗಸಕಳಳವದಕಕ ಅವಕಶ ಕಲಪಸತತದ,kn,146,"['ಫಲಪ', 'ಕರಟ', 'ನದಗ', 'ಈ', 'ಪಲದರಕಯ', 'ಮಲಕ', 'ಅರಬನಕ', 'ನ', 'ಬಳವಣಗಯ', 'ದಷಟಕನವ', 'ಭರತದಲಲ', 'ಹಚಚನ', 'ಶಪರ', 'ಗಳನನ', 'ತಡಗಸಕಳಳವದಕಕ', 'ಅವಕಶ', 'ಕಲಪಸತತದ']"
अननसक वरण अनसवर वरणक अ ङ अ अनसवर अ क कङ अननसक अकषर क ख ग घ ङ कष अननसक उचचरण अरध ङ ङ च छ ज झ ञ जञ अननसक उचचरण अरध ञ ञ ट ठ ड ढ ण अननसक उचचरण अरध ण ण त थ द ध न तर अननसक उचचरण अरध न न प फ ब भ म य र ल व श ष स ह अननसक उचचरण अरध म म सपरस वरणक अरध अननसक वरण आ आफन वरगक अघ हद अनसर उचचरण हदछ,ne,434,"['अननसक', 'वरण', 'अनसवर', 'वरणक', 'अ', 'ङ', 'अ', 'अनसवर', 'अ', 'क', 'कङ', 'अननसक', 'अकषर', 'क', 'ख', 'ग', 'घ', 'ङ', 'कष', 'अननसक', 'उचचरण', 'अरध', 'ङ', 'ङ', 'च', 'छ', 'ज', 'झ', 'ञ', 'जञ', 'अननसक', 'उचचरण', 'अरध', 'ञ', 'ञ', 'ट', 'ठ', 'ड', 'ढ', 'ण', 'अननसक', 'उचचरण', 'अरध', 'ण', 'ण', 'त', 'थ', 'द', 'ध', 'न', 'तर', 'अननसक', 'उचचरण', 'अरध', 'न', 'न', 'प', 'फ', 'ब', 'भ', 'म', 'य', 'र', 'ल', 'व', 'श', 'ष', 'स', 'ह', 'अननसक', 'उचचरण', 'अरध', 'म', 'म', 'सपरस', 'वरणक', 'अरध', 'अननसक', 'वरण', 'आ', 'आफन', 'वरगक', 'अघ', 'हद', 'अनसर', 'उचचरण', 'हदछ']"
मरठ भष भरतसह फज मरशस व इसरयल य दशतह बलल जत,mr,65,"['मरठ', 'भष', 'भरतसह', 'फज', 'मरशस', 'व', 'इसरयल', 'य', 'दशतह', 'बलल', 'जत']"
ପରଫସର ଓଲଡନବରଗଙକ ମତର ପଳ ଭଷ ହ ଓଡଆ ଭଷର ମଳ,or,57,"['ପରଫସର', 'ଓଲଡନବରଗଙକ', 'ମତର', 'ପଳ', 'ଭଷ', 'ହ', 'ଓଡଆ', 'ଭଷର', 'ମଳ']"
हनद भरत क रजभष ह,hi,26,"['हनद', 'भरत', 'क', 'रजभष', 'ह']"
لال,ks,4,['لال']
శ,te,1,['శ']
य भष भरपल भष परवर समहम परदछ,ne,42,"['य', 'भष', 'भरपल', 'भष', 'परवर', 'समहम', 'परदछ']"
লখতভৱ সবৰধবন ১১ট যদও বশষট সবৰধবন আঠটহ পৱ যয,as,66,"['লখতভৱ', 'সবৰধবন', '১১ট', 'যদও', 'বশষট', 'সবৰধবন', 'আঠটহ', 'পৱ', 'যয']"
বল ভষর লপ হল বল লপ,bn,31,"['বল', 'ভষর', 'লপ', 'হল', 'বল', 'লপ']"
ఈ వధమన ఉచఛరచగల ఏకకషరల అనకగ ఉడడనక ఆసకర ఉననదవలల అకషరల,te,79,"['ఈ', 'వధమన', 'ఉచఛరచగల', 'ఏకకషరల', 'అనకగ', 'ఉడడనక', 'ఆసకర', 'ఉననదవలల', 'అకషరల']"
যমনআহমর তহমর তর,bn,29,"['যমনআহমর', 'তহমর', 'তর']"
परनय कळत बरहम लप वपरल झतल पण त बद झल,kok,66,"['परनय', 'कळत', 'बरहम', 'लप', 'वपरल', 'झतल', 'पण', 'त', 'बद', 'झल']"
شاہ رخ خان چھ آكھ ہندستٲنؠ فلمی اداکار,ks,45,"['شاہ', 'رخ', 'خان', 'چھ', 'آكھ', 'ہندستٲنؠ', 'فلمی', 'اداکار']"
૧૯૩૩મ અમરકન સમવય સરકર બહર પડલ વહવટ હકમ અનવય ધતન સકકઓન અવજમ કગળન નટ ચલણમ મકવમ આવ એટલ જ નહ પરત જ નગરક પતન પસ બકનટન અવજમ સ ડલરન મલયન સનન જથથ રખ તમન દસ હજર ડલર જટલ દડ તથ દસ વરષન કરવસન સજ ફટકરવમ આવ એવ જગવઈ પણ એ હકમ દવર કરવમ આવ,gu,331,"['૧૯૩૩મ', 'અમરકન', 'સમવય', 'સરકર', 'બહર', 'પડલ', 'વહવટ', 'હકમ', 'અનવય', 'ધતન', 'સકકઓન', 'અવજમ', 'કગળન', 'નટ', 'ચલણમ', 'મકવમ', 'આવ', 'એટલ', 'જ', 'નહ', 'પરત', 'જ', 'નગરક', 'પતન', 'પસ', 'બકનટન', 'અવજમ', 'સ', 'ડલરન', 'મલયન', 'સનન', 'જથથ', 'રખ', 'તમન', 'દસ', 'હજર', 'ડલર', 'જટલ', 'દડ', 'તથ', 'દસ', 'વરષન', 'કરવસન', 'સજ', 'ફટકરવમ', 'આવ', 'એવ', 'જગવઈ', 'પણ', 'એ', 'હકમ', 'દવર', 'કરવમ', 'આવ']"
१ म ह दवस मरठ भष दन कव मरठ रजभष दन महणन सजर कल जत,mr,75,"['१', 'म', 'ह', 'दवस', 'मरठ', 'भष', 'दन', 'कव', 'मरठ', 'रजभष', 'दन', 'महणन', 'सजर', 'कल', 'जत']"
नमदवशप गर कभरनरहर सनर सवत मळ चख मळ बक महर सन नहव कनहपतर यन भकतपर कवयरचन कलय व मरठ सहतयच दलन ववधयन समदध कल,mr,177,"['नमदवशप', 'गर', 'कभरनरहर', 'सनर', 'सवत', 'मळ', 'चख', 'मळ', 'बक', 'महर', 'सन', 'नहव', 'कनहपतर', 'यन', 'भकतपर', 'कवयरचन', 'कलय', 'व', 'मरठ', 'सहतयच', 'दलन', 'ववधयन', 'समदध', 'कल']"
जसत सनत पनथ कनद अनध अनन तनतर मनतर सत पथ कद अध अनततर मतर आद,ne,95,"['जसत', 'सनत', 'पनथ', 'कनद', 'अनध', 'अनन', 'तनतर', 'मनतर', 'सत', 'पथ', 'कद', 'अध', 'अनततर', 'मतर', 'आद']"
સ,gu,1,['સ']
अतरवर अलबग मरड जजर रसतयवर आह,mr,43,"['अतरवर', 'अलबग', 'मरड', 'जजर', 'रसतयवर', 'आह']"
କନଦରୟ ବଶୱବଦୟଳୟଗଡକର ଓଡଆ ଶକଷବତମନ ନଯକତର ସଯଗ ପଇପରବ,or,78,"['କନଦରୟ', 'ବଶୱବଦୟଳୟଗଡକର', 'ଓଡଆ', 'ଶକଷବତମନ', 'ନଯକତର', 'ସଯଗ', 'ପଇପରବ']"
ଇଲଣଡକ ନଜ ଘରଇ ମଟର କଠନ ସଘରଷ କରବକ ପଡବ,or,53,"['ଇଲଣଡକ', 'ନଜ', 'ଘରଇ', 'ମଟର', 'କଠନ', 'ସଘରଷ', 'କରବକ', 'ପଡବ']"
भरतसय इतहस आधनकमनवसय हमसपयनस परतततववशषकलत परय ३४००० वरषभय आरबध,sa,100,"['भरतसय', 'इतहस', 'आधनकमनवसय', 'हमसपयनस', 'परतततववशषकलत', 'परय', '३४०००', 'वरषभय', 'आरबध']"
शकल यजरवद क मधयनदन शख कछ वकयत म ष क उचचरण ख क तरह करन मनय थ,hi,88,"['शकल', 'यजरवद', 'क', 'मधयनदन', 'शख', 'कछ', 'वकयत', 'म', 'ष', 'क', 'उचचरण', 'ख', 'क', 'तरह', 'करन', 'मनय', 'थ']"
इस बई स दई ओर लख जत ह,hi,33,"['इस', 'बई', 'स', 'दई', 'ओर', 'लख', 'जत', 'ह']"
छतरपत शवज महरजन मरठ समरजयच महरतमढ रवल आण पशवयन य समरजयच वसतर कल,mr,106,"['छतरपत', 'शवज', 'महरजन', 'मरठ', 'समरजयच', 'महरतमढ', 'रवल', 'आण', 'पशवयन', 'य', 'समरजयच', 'वसतर', 'कल']"
ಕಷಯಲಲ ಯತರಪಕರಣ ಆಧನಕ ಪದಧತ ಹಚಚಗತತದ,kn,51,"['ಕಷಯಲಲ', 'ಯತರಪಕರಣ', 'ಆಧನಕ', 'ಪದಧತ', 'ಹಚಚಗತತದ']"
తలగ లపత వటక సపషటగ పలకల కనపసతయ,te,51,"['తలగ', 'లపత', 'వటక', 'సపషటగ', 'పలకల', 'కనపసతయ']"
অৰণচল পৰদশৰ কন কন ঠইত আৰ উততৰপৰবঞচলৰ আন আন ৰজযত অসমযভষ লক আছ,as,87,"['অৰণচল', 'পৰদশৰ', 'কন', 'কন', 'ঠইত', 'আৰ', 'উততৰপৰবঞচলৰ', 'আন', 'আন', 'ৰজযত', 'অসমযভষ', 'লক', 'আছ']"
6 કરડ ગજરત બલનર લક પક ભરતમ લગભગ 4,gu,47,"['6', 'કરડ', 'ગજરત', 'બલનર', 'લક', 'પક', 'ભરતમ', 'લગભગ', '4']"
অষটম শতক থক বলয রচত সহতযর বশল ভণডরর মধয দয অষটদশ শতকর শষ এস বল ভষ তর বরতমন রপ পরগরহণ কর,bn,128,"['অষটম', 'শতক', 'থক', 'বলয', 'রচত', 'সহতযর', 'বশল', 'ভণডরর', 'মধয', 'দয', 'অষটদশ', 'শতকর', 'শষ', 'এস', 'বল', 'ভষ', 'তর', 'বরতমন', 'রপ', 'পরগরহণ', 'কর']"
சரரகள தறகல கரள மறறம கஙக மவடடஙகளலம சழரகள தஞசவர தரசசரபபளள ஆகய மவடடஙகள உளளடககய பகதகளலம பணடயரகள மதர நலல மறறம தன கரள மவடடஙகளலம சலவகக சலததனர,ta,218,"['சரரகள', 'தறகல', 'கரள', 'மறறம', 'கஙக', 'மவடடஙகளலம', 'சழரகள', 'தஞசவர', 'தரசசரபபளள', 'ஆகய', 'மவடடஙகள', 'உளளடககய', 'பகதகளலம', 'பணடயரகள', 'மதர', 'நலல', 'மறறம', 'தன', 'கரள', 'மவடடஙகளலம', 'சலவகக', 'சலததனர']"
ఇద అమరకల వగగ అభవదధ చదతనన భష,te,46,"['ఇద', 'అమరకల', 'వగగ', 'అభవదధ', 'చదతనన', 'భష']"
english is classified as an anglofrisian language because frisian and english share other features such as the palatalisation of consonants that were velar consonants in protogermanic see phonological history of old english palatalization,en,246,"['english', 'is', 'classified', 'as', 'an', 'anglofrisian', 'language', 'because', 'frisian', 'and', 'english', 'share', 'other', 'features', 'such', 'as', 'the', 'palatalisation', 'of', 'consonants', 'that', 'were', 'velar', 'consonants', 'in', 'protogermanic', 'see', 'phonological', 'history', 'of', 'old', 'english', 'palatalization']"
سرینگر ہوائی اڈچھہ شہرس تہ باقی وادی ہندوستان کؠن باقی حصن ستؠ جوڈھان,ks,76,"['سرینگر', 'ہوائی', 'اڈچھہ', 'شہرس', 'تہ', 'باقی', 'وادی', 'ہندوستان', 'کؠن', 'باقی', 'حصن', 'ستؠ', 'جوڈھان']"
ડ,gu,2,['ડ']
in 1476 william caxton introduced the printing press to england and began publishing the first printed books in london expanding the influence of this form of english,en,169,"['in', '1476', 'william', 'caxton', 'introduced', 'the', 'printing', 'press', 'to', 'england', 'and', 'began', 'publishing', 'the', 'first', 'printed', 'books', 'in', 'london', 'expanding', 'the', 'influence', 'of', 'this', 'form', 'of', 'english']"
ਕਰਚ ਵਚ ਵ ਜਆਦਤਰ ਲਕ ਪਜਬ ਭਸ ਬਲਦ ਹਨ,pa,49,"['ਕਰਚ', 'ਵਚ', 'ਵ', 'ਜਆਦਤਰ', 'ਲਕ', 'ਪਜਬ', 'ਭਸ', 'ਬਲਦ', 'ਹਨ']"
अतर ववध वनयजवन वसनत,sa,32,"['अतर', 'ववध', 'वनयजवन', 'वसनत']"
దశ పరభతవ భరతదశ పరచన భషగ గరతచన ఆర భషలల ఇద ఒకట,te,67,"['దశ', 'పరభతవ', 'భరతదశ', 'పరచన', 'భషగ', 'గరతచన', 'ఆర', 'భషలల', 'ఇద', 'ఒకట']"
भरत गणतनतरतमक दशमसत,sa,31,"['भरत', 'गणतनतरतमक', 'दशमसत']"
modern english relies more on auxiliary verbs and word order for the expression of complex tenses aspect and mood as well as passive constructions interrogatives and some negation,en,183,"['modern', 'english', 'relies', 'more', 'on', 'auxiliary', 'verbs', 'and', 'word', 'order', 'for', 'the', 'expression', 'of', 'complex', 'tenses', 'aspect', 'and', 'mood', 'as', 'well', 'as', 'passive', 'constructions', 'interrogatives', 'and', 'some', 'negation']"
ત પરવ સન ક ચદ જવ કમત ધતઓન સકકઓ વનમયન મધયમ તરક પરચલત હત પરત જમ જમ વણજય અન વયપરમ વનમયન વયવહરન વસતરણ થત ગય તમ તમ ધતન પરવઠન અછતન કરણ તન સકકઓ બનવવ મશકલ થત ગય,gu,234,"['ત', 'પરવ', 'સન', 'ક', 'ચદ', 'જવ', 'કમત', 'ધતઓન', 'સકકઓ', 'વનમયન', 'મધયમ', 'તરક', 'પરચલત', 'હત', 'પરત', 'જમ', 'જમ', 'વણજય', 'અન', 'વયપરમ', 'વનમયન', 'વયવહરન', 'વસતરણ', 'થત', 'ગય', 'તમ', 'તમ', 'ધતન', 'પરવઠન', 'અછતન', 'કરણ', 'તન', 'સકકઓ', 'બનવવ', 'મશકલ', 'થત', 'ગય']"
ഭഷകളൽ തമഴനളളതപല പഴകക മലയളതതനമണട,ml,49,"['ഭഷകളൽ', 'തമഴനളളതപല', 'പഴകക', 'മലയളതതനമണട']"
तनमधय कशमरकलपरभतय दरय,sa,37,"['तनमधय', 'कशमरकलपरभतय', 'दरय']"
یہ مدرسوں میں اعلی ثانوی جماعتوں تک لازمی مضمون کی طور پر پڑھائی جاتی ہے,ur,74,"['یہ', 'مدرسوں', 'میں', 'اعلی', 'ثانوی', 'جماعتوں', 'تک', 'لازمی', 'مضمون', 'کی', 'طور', 'پر', 'پڑھائی', 'جاتی', 'ہے']"
ഈ ലഖതതതല കടലലർ ആ കൾ പട തയൻ അനതവൻ കൽ എനന വകയതതല പട ധത മലയളമണ,ml,86,"['ഈ', 'ലഖതതതല', 'കടലലർ', 'ആ', 'കൾ', 'പട', 'തയൻ', 'അനതവൻ', 'കൽ', 'എനന', 'വകയതതല', 'പട', 'ധത', 'മലയളമണ']"
યનઇટડ કગડમય,gu,20,"['યનઇટડ', 'કગડમય']"
अषटदशशतकत नवदशशतकसय मधयभगपरयनत त शसतवनत इम दशम,sa,66,"['अषटदशशतकत', 'नवदशशतकसय', 'मधयभगपरयनत', 'त', 'शसतवनत', 'इम', 'दशम']"
മലയളതതല മതകകൻ കറകകൻ എനനവയല കകൻ തമഴൽ ഇലല,ml,59,"['മലയളതതല', 'മതകകൻ', 'കറകകൻ', 'എനനവയല', 'കകൻ', 'തമഴൽ', 'ഇലല']"
